,title,PMID
0,SARS-CoV-2-Induced Multisystem Inflammatory Syndrome in a Young Adult: Case Report.,34179694
1,Pancytopenia Resulting From Low-Dose Methotrexate Use: A Diagnostic Challenge.,34178513
2,Disseminated Tuberculosis Associated Hemophagocytic Lymphohistiocytosis in a Pregnant Woman With Evans syndrome: A Case Report and Literature Review.,34177917
3,Multifocal Pyoderma Gangrenosum with an Underlying Hemophagocytic Lymphohistiocytosis: Case Report and the Review of the Literature.,34176093
4,"Prevalence of Epstein-Barr Viral DNA among children at a single hospital in Suzhou, China.",34174213
5,T Cell-Epstein-Barr Virus-Associated Hemophagocytic Lymphohistiocytosis (HLH) Occurs in Non-Asians and Is Associated with a T Cell Activation State that Is Comparable to Primary HLH.,34173902
6,Inherited Genetic Susceptibility to Nonimmunosuppressed Epstein-Barr Virus-associated T/NK-cell Lymphoproliferative Diseases in Chinese Patients.,34170459
7,"Haemophagocytic lymphohistiocytosis and Epstein-Barr virus: a complex relationship with diverse origins, expression and outcomes.",34169507
8,Hemophagocytic lymphohistiocytosis occurring after liver transplantation: A case series and review of the literature.,34159642
9,A novel gene LbHLH from the halophyte Limonium bicolor enhances salt tolerance via reducing root hair development and enhancing osmotic resistance.,34157974
10,Intrapleural infections in patients with subcutaneous panniculitis-like T-cell lymphoma (SPTCL) are susceptible to hemophagocytic lymphohistiocytosis (HLH).,34155740
11,Recombinant human luteinizing hormone co-treatment in ovarian stimulation for assisted reproductive technology in women of advanced reproductive age: a systematic review and meta-analysis of randomized controlled trials.,34154604
12,Absent XIAP expression in T cell blasts and causal XIAP mutations including non-coding deletion.,34145698
13,Anakinra treats fulminant myocarditis from Neisseria meningitidis septicaemia and haemophagocytic lymphohistiocytosis: a case report.,34142010
14,Genome-Wide Analysis of the G2-Like Transcription Factor Genes and Their Expression in Different Senescence Stages of Tobacco (Nicotiana tabacum L.).,34135936
15,Malignancy-induced hemophagocytic lymphohistiocytosis in a case of signet ring cell carcinoma of the stomach.,34135144
16,A Fatal Case of Dengue-Associated Hemophagocytic Lymphohistiocytosis and Retroperitoneal Hematoma in a Patient With Autoimmune Hemolytic Anemia.,34131542
17,Whole exome sequencing reveals a novel LRBA mutation and clonal hematopoiesis in a common variable immunodeficiency patient presented with hemophagocytic lymphohistiocytosis.,34120644
18,"A hungry Histiocyte, altered immunity and myriad of problems: Diagnostic challenges for Pediatric HLH.",34118134
19,Outcome of L-DEP regimen for treatment of pediatric chronic active Epstein-Barr virus infection.,34112210
20,Imaging of native transcription and transcriptional dynamics in vivo using a tagged Argonaute protein.,34107044
21,[Sucecesfull bone marrow transplantation in a case of familial hemophagocytic lymphohistiocytosis type 3].,34106167
22,Natural-killer cell cytotoxicity as a diagnostic and prognostic marker for adult patients with secondary hemophagocytic lymphohistiocytosis: a prospective phase II observational study.,34104375
23,Piecemeal regulation of convergent neuronal lineages by bHLH transcription factors in Caenorhabditis elegans.,34100067
24,Virus-triggered secondary hemophagocytic lymphohistiocytosis.,34096649
25,Mitf Involved in Innate Immunity by Activating Tyrosinase-Mediated Melanin Synthesis in Pteria penguin.,34093521
26,Hemophagocytic lymphohistiocytosis after COVID-19 vaccination.,34088334
27,Clinicopathological findings of systemic Epstein-Barr virus-positive T-lymphoproliferative diseases in younger and older adults.,34088321
28,Hemophagocytic histiocytosis in severe SARS-CoV-2 infection: A bone marrow study.,34086418
29,Central Nervous System Involvement in Adult-Onset Hemophagocytic Lymphohistiocytosis.,34084687
30,Genetic and clinical characteristics of pediatric patients with familial hemophagocytic lymphohistiocytosis.,34083498
31,An Unusual Case of Hemophagocytic Lymphohistiocytosis Presentation in Acute Human Immunodeficiency Virus.,34078147
32,Ruxolitinib is an alternative to etoposide for patient with hemophagocytic lymphohistiocytosis complicated by acute renal injury: A case report.,34074166
33,Biophysical and Biochemical Comparison of Extracellular Vesicles Produced by Infective and Non-Infective Stages of Trypanosoma cruzi.,34068436
34,The first pediatric case of hemophagocytic lymphohistiocytosis secondary to Crimean-Congo haemorrhagic fever successfully treated with therapeutic plasma exchange accompanying ribavirin and intravenous immunoglobulin.,34061376
35,Successful rescue of a lethal Griscelli syndrome type 2 presenting with neurological involvement and hemophagocytic lymphohistiocytosis: a case report.,34058999
36,Exploring the Intersection of Isolated-CNS Hemophagocytic Lymphohistiocytosis and Pediatric Chronic Lymphocytic Inflammation With Pontine Perivascular Enhancement Responsive to Steroids.,34056941
37,Effect of LHCGR Gene Polymorphism (rs2293275) on LH Supplementation Protocol Outcomes in Second IVF Cycles: A Retrospective Study.,34046009
38,Case Report: Hemophagocytic Lymphohistiocytosis and Non-Tuberculous Mycobacteriosis Caused by a Novel GATA2 Variant.,34040617
39,"Optimising Follicular Development, Pituitary Suppression, Triggering and Luteal Phase Support During Assisted Reproductive Technology: A Delphi Consensus.",34040586
40,Quantitative analysis of the natural history of prolidase deficiency: description of 17 families and systematic review of published cases.,34040193
41,Postpartum disseminated HSV-1 infection with hemophagocytic lymphohistiocytosis and fulminant neonatal herpes infection.,34037797
42,Multiple-Organ Involvement in Familial Hemophagocytic Lymphohistiocytosis Type 2 Shown on FDG PET/CT.,34034321
43,Therapy-related acute myeloid leukemia with KMT2A-SNX9 gene fusion associated with a hyperdiploid karyotype after hemophagocytic lymphohistiocytosis.,34034210
44,A conserved klo-1-mpk-1 pathway regulates autophagy and modulates longevity in Caenorhabditis elegans.,34034091
45,"Polymorphisms and haplotypes of IL2RA, IL10, IFNG, IRF5, and CCR2 are associated with Epstein-Barr virus-associated hemophagocytic lymphohistiocytosis in children.",34031980
46,Anti-tumor effects of an ID antagonist with no observed acquired resistance.,34031428
47,"Case Report: Visceral Leishmaniasis and Hemophagocytic Lymphohistiocytosis: Three Clinical Cases, Three Different Pattern.",34029206
48,Perspectives on a Way Forward to Implementation of Precision Medicine in Patients With Diabetic Kidney Disease; Results of a Stakeholder Consensus-Building Meeting.,34025424
49,Enzyme replacement therapy and hematopoietic stem cell transplant: a new paradigm of treatment in Wolman disease.,34020687
50,"Methods of Expression, Purification, and Preparation of the c-Myc b-HLH-LZ for Its Biophysical Characterization.",34019284
51,Secondary hemophagocytic lymphohystiocytosis in a Rubinstein Taybi syndrome patient.,34018455
52,Macrophage Activation Syndrome in a Case of Myasthenia Gravis with Concurrent Cytomegalovirus Infection.,34018170
53,Pediatric Hemophagocytic Lymphohistiocytosis - A Single Center Study of 118 Patients.,34016798
54,Gastric cancer complicated with hemophagocytic lymphohistiocytosis: case report and a brief review.,34012677
55,Analysis of the occurrence of hemophagocytic lymphohistiocytosis (HLH) features in patients with sepsis: a prospective study.,34006913
56,Reactions Related to CAR-T Cell Therapy.,33995389
57,"Hemophagocytic lymphohistiocytosis associated with Epstein-Barr virus-positive diffuse large B-cell lymphoma, NOS of bone marrow-liver-spleen type: an autopsy case report.",33994430
58,Prostate Cancer and Reactive Haemophagocytic Lymphohistiocytosis.,33987121
59,Lenalidomide-Associated Hemophagocytic Lymphohistiocytosis With Plasma Cell Phagocytosis.,33987058
60,Macrophage Activation in COVID-19 Patients in Intensive Care Unit.,33984075
61,NHR-49/PPAR-α and HLH-30/TFEB cooperate for C. elegans host defense via a flavin-containing monooxygenase.,33978570
62,Clinical analysis and a novel risk predictive nomogram for 155 adult patients with hemophagocytic lymphohistiocytosis.,33977332
63,Therapeutic administration of etoposide coincides with reduced systemic HMGB1 levels in macrophage activation syndrome.,33975537
64,An autopsy series of an oft-missed ante-mortem diagnosis: hemophagocytic lymphohistiocytosis.,33968822
65,"Graft-versus-host disease after liver transplantation is associated with bone marrow failure, hemophagocytosis, and DNMT3A mutations.",33961341
66,Epstein-Barr virus induced haemophagocytic lymphohistiocytosis.,33952568
67,Secondary hemophagocytic lymphohistiocytosis: a case report.,33944851
68,Hemophagocytic lymphohistiocytosis presented with fever of unknown origin: A case study and literature review.,33936693
69,Current status of the diagnosis and treatment of hemophagocytic lymphohistiocytosis in adults.,33935031
